lat,lon,use_type,use_code,year_built,gross_area,story_height,number_of_stories,address,Address,Type,fire_late,fire_early,Fire_final
38.022487299999995,-78.52190109107059,R,Office Building,1920.0,199.0,8.0,1.0,"235 STRIBLING AVE Charlottesville, VA",235 STRIBLING AVE,Commercial,0,0.0,0.0
38.02363755,-78.51379410120009,R,Commercial,1954.0,349.0,8.0,1.0,"111 RAYMOND AVE Charlottesville, VA",111 RAYMOND AVE,Commercial,0,0.0,0.0
38.0356851,-78.49190752186401,R,Multiple Commercial Use,1966.0,39540.0,14.0,1.0,"911 PAOLI ST Charlottesville, VA",911 PAOLI ST,Commercial,0,0.0,0.0
38.04172003744,-78.4941360655278,R,Storage Warehouse,1945.0,3254.0,12.0,2.0,"728 MADISON AVE Charlottesville, VA",728 MADISON AVE,Commercial,0,0.0,0.0
38.0413468,-78.49361640000002,R,Storage Warehouse,1945.0,3200.0,12.0,1.0,"726 MADISON AVE Charlottesville, VA",726 MADISON AVE,Commercial,0,0.0,0.0
38.0429573,-78.50018859999999,R,Office Building,1977.0,3200.0,10.0,1.0,"611 RUGBY RD Charlottesville, VA",611 RUGBY RD,Commercial,0,0.0,0.0
38.02193585,-78.51830440118509,R,Commercial,1987.0,1091.0,12.0,1.0,"2411 SUNSET RD Charlottesville, VA",2411 SUNSET RD,Commercial,0,0.0,0.0
38.02328715,-78.5139559764891,R,Commercial,1987.0,1191.0,12.0,1.0,"108 RAYMOND AVE Charlottesville, VA",108 RAYMOND AVE,Commercial,0,0.0,0.0
38.028643,-78.5090309,R,Office Building,1890.0,104.0,10.0,1.0,"1800 JEFFERSON PARK AVE Charlottesville, VA",1800 JEFFERSON PARK AVE,Commercial,0,0.0,0.0
38.0149785,-78.5150053735045,R,Office Building,1947.0,1302.0,12.0,1.0,"230 OLD LYNCHBURG RD Charlottesville, VA",230 OLD LYNCHBURG RD,Commercial,0,0.0,0.0
38.03790479999999,-78.4612741,R,Apartments over 20 units,1924.0,13008.0,8.0,3.0,"1217 RIVER VISTA AVE Charlottesville, VA",1217 RIVER VISTA AVE,Commercial,0,0.0,0.0
38.0382152817247,-78.4622404691273,R,Office Building,1992.0,2220.0,14.0,1.0,"1219 RIVER VISTA AVE Charlottesville, VA",1219 RIVER VISTA AVE,Commercial,0,0.0,0.0
38.04837984693879,-78.5045045714286,C,Office Building,1959.0,5970.0,12.0,1.0,"1932 ARLINGTON BLVD Charlottesville, VA",1932 ARLINGTON BLVD,Commercial,0,0.0,0.0
38.0599894,-78.49503940000002,C,Medical Office,1969.0,5930.0,10.0,2.0,"2114 ANGUS RD Charlottesville, VA",2114 ANGUS RD,Commercial,0,0.0,0.0
38.04827890000001,-78.50553740000002,C,Apartments 11-20 Units,2001.0,10455.0,10.0,3.0,"1932 ARLINGTON BLVD Charlottesville, VA",1932 ARLINGTON BLVD,Commercial,0,0.0,0.0
